address;webSite;helpPhone;dimensions;coordinates
Бутырская улица, дом 86Б;butyrsky.mos.ru;+7 (495) 610-42-01;площадь (кв. м): 180;{type=Point, coordinates=[37.5829151975424, 55.8077308007768]}
Привольная улица, дом 73 ;vihyno.org;+7 (499) 796-58-73;площадь (кв. м): 480;{type=Point, coordinates=[37.855505001545495, 55.679898610178036]}
Профсоюзная улица, дом 93 ;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 476;{type=Point, coordinates=[37.529113176435, 55.63824555652019]}
Ташкентская улица, дом 10 ;vihyno.org;+7 (495) 657-60-59;площадь (кв. м): 640;{type=Point, coordinates=[37.81615921899417, 55.70721551560997]}
улица Академика Скрябина, дом 7 ;vihyno.org;+7 (495) 657-60-59;площадь (кв. м): 704;{type=Point, coordinates=[37.797519614230936, 55.71333396064217]}
Самаркандский бульвар, дом 6 ;vihyno.org;+7 (495) 657-60-59;площадь (кв. м): 640;{type=Point, coordinates=[37.82853782212708, 55.708553378128265]}
Ленинградский проспект, дом 75 ;www.munsokol.ru;+7 (499) 158-69-81;площадь (кв. м): 516;{type=Point, coordinates=[37.51116914626518, 55.804671309094026]}
аллея Большого Круга, дом 7;izmailovsky-park.ru;+7 (499) 166-61-19;площадь (кв. м): 896;{type=Point, coordinates=[37.750660306887404, 55.775173666247014]}
Измайловский проспект, владение 54;mosecovao.info;+7 (499) 367-89-18;площадь (кв. м): 360;{type=Point, coordinates=[37.80532086956155, 55.76225829748897]}
улица Юности, дом 2 ;www.mospriroda.ru;+7 (495) 367-36-81;площадь (кв. м): 360;{type=Point, coordinates=[37.808140832299266, 55.73242054729298]}
улица Юности, дом 2 ;www.mospriroda.ru;+7 (495) 367-36-81;площадь (кв. м): 360;{type=Point, coordinates=[37.80646445166533, 55.732456046931006]}
Суздальская улица, дом 24 ;novokosino.mos.ru;+7 (495) 701-44-65;площадь (кв. м): 612;{type=Point, coordinates=[37.8579066748202, 55.742426183042305]}
Воронежская улица, дом 32 ;orehovo-borisovo-juzhnoe.mos.ru;+7 (495) 343-24-83;площадь (кв. м): 400;{type=Point, coordinates=[37.73931524905087, 55.6092167600142]}
Домодедовская улица, дом 24 ;orehovo-borisovo-juzhnoe.mos.ru;+7 (495) 343-24-83;площадь (кв. м): 134;{type=Point, coordinates=[37.709512662836275, 55.60681460600478]}
Ясеневая улица, дом 41 ;orehovo-borisovo-juzhnoe.mos.ru;+7 (495) 343-24-83;площадь (кв. м): 154;{type=Point, coordinates=[37.74259350124549, 55.60838692749693]}
Пролетарский проспект, дом 17 ;moskvoreche-saburovo.mos.ru/;+7 (499) 323-32-53;площадь (кв. м): 393;{type=Point, coordinates=[37.65704364689176, 55.6427832043099]}
